date,price_open,price_high,price_low,price_close,amount
37083,2190.98,2192.52,2167.67,2168.74,6976.56
37084,2164.92,2168.4,2153.68,2165.49,6826
37085,2167.7,2178.02,2158.85,2161.34,7374.97
37088,2176.34,2183.52,2142.08,2146.24,10684.82
37089,2145.49,2146.03,2121.28,2140.98,8389.69
37090,2142.01,2147.84,2137.41,2146.54,5640.05
37091,2146.51,2150.27,2135.24,2150.26,6882.56
37092,2153.24,2179.77,2153.14,2179.62,11548.36
37095,2183.74,2185.86,2166.33,2169.01,10429.15
37096,2162.75,2162.75,2129.18,2136.45,10255.28
37097,2130.45,2140.5,2108.76,2112.26,8441.63
37098,2109.92,2116.56,2086.08,2094.01,7673.06
37099,2093.87,2101.15,2063.89,2065.73,7881.57
37102,2056.76,2056.77,1955.97,1956.8,9727.67
37103,1939.26,1978.1,1909.3,1920.32,8769.21
37104,1925.24,1986.94,1925.24,1986.93,9035.16
37105,1989.64,1990.7,1912.73,1957.02,7882.72
37106,1956.54,1965.32,1948.9,1958.69,5392.85
37109,1953.41,1953.45,1867.86,1882.13,7951.11
37110,1872.67,1911.21,1861.78,1903.93,8506.01
37111,1902.87,1907.95,1885.42,1895.17,8037.43
37112,1894.69,1924.65,1894.05,1924.59,7777.66
37113,1929.96,1956.4,1929.69,1955.04,10767.09
37116,1956.93,1963.14,1942.07,1955.1,7601.67
37117,1955.51,1960.95,1924.27,1939.54,6818.21
37118,1938.54,1949.16,1935.39,1947.36,4984.72
37119,1948.27,1950.46,1918.49,1919.65,5405.54
37120,1916.84,1928.14,1909.67,1924,4945.06
37123,1923.1,1937.16,1917.1,1934.49,6349.41
37124,1936.06,1947.4,1935.77,1938.87,5834.75
37125,1935.54,1935.56,1891.35,1903.45,7531.07
37126,1892.37,1903.47,1869.49,1902.99,7039.79
37127,1903.38,1912.19,1883.24,1886.8,6626.12
37130,1881.31,1881.31,1824.88,1827.25,8533.42
37131,1816.66,1843.44,1795.57,1843.39,7195.6
37132,1846.82,1865.48,1837.94,1847.54,6435.77
37133,1846.19,1846.54,1831.02,1839.63,4167.96
37134,1838.21,1846.94,1831.52,1834.14,3657.22
37137,1831.7,1831.8,1813.37,1817.19,4566.07
37138,1815.27,1862.4,1814.92,1862.36,7228.94
37139,1868.36,1888.9,1863.83,1868.27,7342.65
37140,1867.63,1876.47,1853.29,1861.56,5237.04
37141,1858.24,1858.24,1807.14,1808.84,6510.05
37144,1790.21,1858.2,1774.83,1856.53,7570.42
37145,1859.97,1871.13,1849.61,1863.78,6564.94
37146,1822.13,1858.69,1815.59,1852.6,9852.09
37147,1851.62,1857.86,1837.82,1839.91,4730.89
37148,1838.67,1846.02,1814.74,1818.38,5505.29
37151,1811.9,1816.26,1782.5,1784.61,5668.96
37152,1784.59,1817.56,1780.05,1798.62,4488.18
37153,1800.24,1822.97,1784.91,1822.7,4832.96
37154,1826.42,1836.79,1814.46,1818.42,5820.95
37155,1815.56,1821.34,1803.8,1807.02,4024.93
37158,1804.89,1808.7,1791.62,1794.96,3276.99
37159,1799.98,1813.31,1788.4,1793.88,3395.76
37160,1793.65,1793.67,1765.17,1767.81,3273.62
37161,1765.62,1779.13,1750.76,1764.93,3770.56
37162,1766.13,1774.3,1751.72,1764.87,4046.74
37172,1766.13,1773.8,1723.04,1726.53,3081.94
37173,1724.17,1751.07,1722.22,1744.64,3151.32
37174,1744.04,1744.64,1683.71,1686.61,4675.75
37175,1682.32,1693.22,1634.21,1638.33,4937.64
37176,1637.75,1700.71,1598.79,1691.33,8113.37
37179,1692.17,1703.59,1670.27,1687.28,5149.46
37180,1689.19,1691.65,1649.2,1655.9,3769.39
37181,1654.93,1661.88,1635.92,1643.07,3081.27
37182,1642.01,1651.11,1609.38,1615.58,3531.48
37183,1610.45,1610.45,1550.91,1572.45,6162.06
37186,1558.47,1563.4,1514.86,1520.67,4282.27
37187,1642.22,1670.74,1625.15,1670.56,15108.64
37188,1733.64,1744.92,1685.72,1718.06,23413.28
37189,1708.03,1708.03,1673.05,1676.5,11938.46
37190,1669.16,1681.9,1651.52,1677.88,7450.65
37193,1678.73,1701.12,1678.73,1700.48,6326.99
37194,1702.86,1704.48,1680.44,1682.77,4570.87
37195,1678.93,1689.17,1655.89,1689.17,4521.89
37196,1692.35,1717.74,1688.1,1707.75,6950.33
37197,1703.92,1711.74,1688.57,1691.35,4625.09
37200,1687.84,1688.31,1671.23,1679.57,3750.23
37201,1678.17,1685.52,1668.66,1671.28,3871.55
37202,1669.43,1669.46,1591.77,1594.05,6247.02
37203,1566.52,1605.9,1550.47,1605.87,5184.76
37204,1605.08,1637.9,1582.85,1630.36,6023.15
37207,1631.8,1637.33,1619.11,1621.2,4265.99
37208,1609.95,1623.45,1598.11,1615.93,3507.88
37209,1615.75,1627.97,1614.59,1617.1,2949.79
37210,1619.26,1624.81,1612.91,1621.34,2726.78
37211,1725.45,1734.67,1644.61,1646.76,12728.56
37214,1645.09,1669.99,1644.82,1669.89,5061.77
37215,1672.21,1703.74,1670.8,1699.73,10016.46
37216,1700.66,1707.93,1690.23,1705.66,7499.88
37217,1705.92,1715.93,1700.51,1715.81,7609.64
37218,1715.65,1721.97,1704.14,1712.56,6833.09
37221,1710.13,1710.13,1696,1705.89,5098.98
37222,1705.51,1722.62,1704.85,1722.59,5509.31
37223,1725.54,1741.67,1725.16,1735,8474.96
37224,1735.38,1741.74,1728.89,1732.3,7714.61
37225,1732.13,1748,1731.96,1747.99,7841.98
37228,1751.05,1767.44,1750.92,1762.56,9575.22
37229,1763.79,1770.36,1754.87,1769.68,8118.59
37230,1765.56,1776.02,1745.11,1745.23,10564.74
37231,1740.08,1754.77,1737.06,1751.18,8838.67
37232,1752.02,1756.47,1743.33,1745.41,6793.4
37235,1743.63,1748.97,1730.81,1748.68,5843.79
37236,1748.02,1748.98,1726.69,1728.88,5955.3
37237,1724.88,1728.83,1714.18,1715.17,6305.42
37238,1713.78,1720.55,1687.09,1688.01,6199.53
37239,1683.73,1692.91,1673.32,1675.51,4867.17
37242,1673.24,1680.84,1662.68,1665.94,3949.57
37243,1666.51,1687.77,1660.5,1687.29,5427.69
37244,1688.92,1693.18,1671.94,1672.7,5077.23
37245,1669.48,1669.48,1628.47,1631.54,6230.01
37246,1627.44,1640.79,1624.5,1640.14,4057
37249,1639.52,1640.14,1601.24,1606.1,4674.13
37250,1604.67,1613.6,1593.03,1611.17,4490.37
37251,1610.65,1634.33,1605.15,1633.64,5077.11
37252,1635.46,1644.41,1625.46,1627.92,5946.21
37253,1626.96,1639.85,1619.53,1639.48,5508.55
37256,1641.43,1649.8,1638.32,1645.97,5791
37260,1643.49,1643.5,1608.83,1611.39,3211.05
37263,1605.74,1605.74,1584.66,1596.76,3033.08
37264,1594.87,1607.72,1582.45,1583.46,3752.64
37265,1580.71,1580.72,1552.56,1561.35,4243.77
37266,1556.74,1580.01,1523.66,1576.44,5529.78
37267,1574.26,1574.27,1535.28,1535.59,4516.17
37270,1519.93,1519.93,1484.46,1485.11,5421.76
37271,1475.34,1491.7,1458.02,1459.65,5112.33
37272,1458.84,1482.18,1439.4,1479.62,5789.75
37273,1476.36,1476.38,1416.3,1419.52,4993.91
37274,1405.55,1434.97,1376.89,1415.44,6855.96
37277,1407,1412.21,1362.62,1366.97,4781.88
37278,1360.29,1400.76,1348.79,1358.69,5872.24
37279,1355.86,1445.7,1346.17,1444.97,8503.14
37280,1435.32,1478.54,1400.35,1456.4,11731.69
